Pos,No.,Name,Team,Gender,Class,Time,Behind,Hardtail,eBike,S1: Rockshox Point n Shoot,,,S2: Peatys Castle,,,S3: Camelbak Grand Canyon,,,S4: Exposure Booze Cruise,,,S5: Fox Moor Line,,,S6: Topeak Rake n Ride,,,S7: Maxxis Thistle Hill,,,Bonus,Penalty Details
447th,783,Christopher Knights,,M,Enduro | Veteran Male (40-49),25:17.1,+6:36.46,,,04:15.3,391st,+1:10.05,04:22.5,392nd,+1:14.80,03:04.4,580th,+0:59.30,03:58.2,459th=,+0:58.80,02:45.1,700th,+0:41.85,02:36.7,421st,+0:30.34,04:14.8,504th,+1:05.85,,
448th,77,Luke Cairns,,M,Enduro | Senior Male (18-29),25:17.2,+6:36.61,,,04:07.9,314th,+1:02.60,04:42.0,537th,+1:34.30,02:57.2,488th=,+0:52.09,04:03.7,527th=,+1:04.30,02:32.9,442nd,+0:29.69,02:39.1,479th=,+0:32.75,04:14.4,499th,+1:05.41,,
449th,788,Clifford Perkins,LA234,M,Enduro | Master Male (30-39),25:17.9,+6:37.31,,,04:12.4,355th=,+1:07.19,04:15.6,322nd,+1:07.90,02:54.8,460th,+0:49.71,03:59.1,472nd,+0:59.65,02:38.2,558th,+0:34.95,02:40.9,521st=,+0:34.59,04:36.8,657th,+1:27.85,,
450th,633,Sam Owens,Summerhouse Garage,M,Enduro | Veteran Male (40-49),25:18.6,+6:38.05,,,04:11.8,351st,+1:06.55,05:05.2,696th,+1:57.54,02:48.0,362nd,+0:42.94,03:54.2,406th=,+0:54.80,02:29.7,359th,+0:26.44,02:36.3,407th,+0:29.90,04:13.4,488th,+1:04.41,,
451st,185,Steven Porter,Diet Coke Rampage Crew,M,Enduro | Veteran Male (40-49),25:18.9,+6:38.28,,,04:13.4,365th,+1:08.19,04:39.5,519th,+1:31.85,02:53.8,451st=,+0:48.75,04:05.3,553rd,+1:05.89,02:37.3,536th,+0:34.04,02:38.5,461st,+0:32.14,04:10.9,470th,+1:01.95,,
452nd,1130,Adam Kendrick,Team Voneus MTB,M,Enduro | Veteran Male (40-49),25:19.3,+6:38.73,,,04:21.6,460th,+1:16.31,04:31.6,461st,+1:23.94,02:48.6,373rd,+0:43.54,03:59.3,475th,+0:59.81,02:35.9,506th=,+0:32.65,02:45.9,627th,+0:39.51,04:16.5,519th=,+1:07.50,,
453rd,807,Aaron Young,LOMAG,M,Enduro | Grand Vet Male (50+),25:19.4,+6:38.82,,,04:33.7,575th,+1:28.50,04:47.6,589th,+1:39.99,03:01.1,541st,+0:56.00,03:51.1,371st,+0:51.65,02:33.3,449th=,+0:30.06,02:38.5,462nd=,+0:32.15,03:54.0,308th,+0:45.00,,
454th,1161,Simon Fryer,North Nibley Racing,M,Enduro | Master Male (30-39),25:19.8,+6:39.22,,,04:15.9,397th,+1:10.65,04:21.1,378th,+1:13.44,03:08.9,629th,+1:03.76,03:48.3,336th,+0:48.84,02:36.7,522nd,+0:33.41,02:42.9,570th,+0:36.56,04:26.1,589th,+1:17.09,,
455th,387,Sally Wright,Big Bear Bikes,F,Enduro | Master Female (30-39),25:20.7,+6:40.13,,,04:23.5,481st,+1:18.20,04:16.8,341st,+1:09.09,03:00.4,533rd,+0:55.34,04:05.0,548th,+1:05.59,02:38.7,571st,+0:35.40,02:47.0,652nd,+0:40.69,04:09.3,454th,+1:00.35,,
456th,953,Gethin Howells,Rad Farts,M,Enduro | Veteran Male (40-49),25:20.9,+6:40.32,,,04:17.7,424th,+1:12.45,04:14.5,312th,+1:06.84,02:54.7,459th,+0:49.59,04:07.8,581st,+1:08.34,02:34.2,466th,+0:30.96,02:43.9,593rd,+0:37.51,04:28.2,602nd,+1:19.16,,
n/c,96,Matthew Smith,GYMTB,M,Enduro | Master Male (30-39),25:20.9,,,E,04:12.5,n/c,,04:36.0,n/c,,02:53.0,n/c,,04:09.6,n/c,,02:35.5,n/c,,02:45.1,n/c,,04:09.2,n/c,,,
457th,724,Robert Corrie,Go Ard or Go Loam,M,Enduro | Master Male (30-39),25:21.9,+6:41.30,,,04:22.9,473rd=,+1:17.60,04:21.7,388th,+1:14.09,03:00.9,539th=,+0:55.75,03:51.8,376th,+0:52.40,02:33.3,449th=,+0:30.06,02:43.4,581st,+0:37.04,04:27.9,601st,+1:18.89,,
458th,347,Thomas Smith,Smith Brothers Racing,M,Enduro | Master Male (30-39),25:22.0,+6:41.42,,,04:31.4,554th,+1:26.19,04:25.7,415th,+1:17.99,03:00.2,529th,+0:55.10,03:58.1,455th=,+0:58.65,02:41.5,630th=,+0:38.21,02:39.2,481st,+0:32.81,04:06.0,416th,+0:57.00,,
459th,903,Jake Downes,No Hope,M,Enduro | Master Male (30-39),25:22.2,+6:41.66,,,04:37.5,606th,+1:32.29,04:33.9,472nd,+1:26.28,02:51.7,421st,+0:46.56,03:59.8,483rd,+1:00.30,02:33.6,456th,+0:30.31,02:41.5,536th,+0:35.10,04:04.3,403rd=,+0:55.35,,
460th,484,Dave Hankin,Bear Trax,M,Enduro | Grand Vet Male (50+),25:22.5,+6:41.91,,,04:46.6,674th,+1:41.35,04:46.2,577th,+1:38.54,02:46.5,345th=,+0:41.40,03:56.0,429th=,+0:56.55,02:29.8,362nd=,+0:26.55,02:37.7,446th=,+0:31.40,03:59.6,366th,+0:50.65,,
461st,274,James Rolland,RGDCC,M,Enduro | Grand Vet Male (50+),25:22.7,+6:42.12,,,04:16.3,406th,+1:11.09,04:49.2,605th,+1:41.59,03:13.1,673rd,+1:08.00,03:57.8,454th,+0:58.36,02:28.5,335th,+0:25.20,02:35.1,376th,+0:28.75,04:02.7,388th,+0:53.66,,
462nd,589,Chris Edmunds,Ace Bicycles,M,Enduro | Master Male (30-39),25:23.4,+6:42.78,,,04:24.7,498th,+1:19.50,04:23.7,403rd,+1:16.05,02:49.6,392nd=,+0:44.50,04:28.9,746th=,+1:29.40,02:32.5,434th,+0:29.21,02:39.3,484th=,+0:32.96,04:04.7,406th,+0:55.69,,
463rd,751,Chris Gibbons,Hopethegoatsmokes,M,Enduro | Veteran Male (40-49),25:23.7,+6:43.15,,,04:42.7,655th,+1:37.44,04:27.2,433rd,+1:19.55,02:59.8,524th=,+0:54.71,03:56.3,433rd,+0:56.84,02:31.4,408th,+0:28.10,02:38.2,458th,+0:31.84,04:08.2,437th,+0:59.20,,
464th,318,Monika Mixova,Stif Mountain Bikes,F,Enduro | Master Female (30-39),25:24.6,+6:44.01,,,04:32.9,567th,+1:27.69,04:28.8,443rd,+1:21.14,02:57.2,490th,+0:52.11,04:07.8,583rd,+1:08.39,02:33.7,457th=,+0:30.46,02:36.6,417th,+0:30.25,04:07.5,432nd,+0:58.50,,
465th,949,Mark Riley,Pushrodders,M,Enduro | Grand Vet Male (50+),25:24.7,+6:44.15,,,04:28.7,530th,+1:23.46,04:24.3,405th,+1:16.60,02:47.6,354th,+0:42.55,03:44.6,280th,+0:45.11,02:36.1,511th=,+0:32.85,02:46.4,640th,+0:40.01,04:37.1,659th,+1:28.10,,
466th,389,Aaron Lord,Renegades,M,Enduro | Master Male (30-39),25:25.3,+6:44.75,,,04:39.3,626th,+1:34.06,04:33.8,471st,+1:26.13,02:55.1,466th,+0:50.05,03:56.4,434th,+0:56.99,02:30.0,373rd=,+0:26.75,02:36.5,410th=,+0:30.10,04:14.2,494th,+1:05.20,,
467th,115,Stuart Mackay,77 Suspension,M,Enduro | Senior Male (18-29),25:26.9,+6:46.26,,,04:28.4,526th,+1:23.10,04:54.2,642nd=,+1:46.50,02:53.3,442nd,+0:48.20,04:00.0,488th,+1:00.55,02:27.5,317th,+0:24.25,02:35.4,384th,+0:29.09,04:08.1,435th,+0:59.10,,
468th,529,Chris Algie,Beacon Boys,M,Enduro | Master Male (30-39),25:28.4,+6:47.77,,,04:13.0,360th,+1:07.70,04:58.8,663rd,+1:51.15,02:54.5,457th,+0:49.40,04:03.2,520th,+1:03.71,02:33.2,444th,+0:29.94,02:33.8,347th=,+0:27.45,04:11.9,477th,+1:02.95,,
469th,351,Simon Humphries,The Cycle Hub,M,Enduro | Master Male (30-39),25:28.4,+6:47.80,,,04:14.2,379th,+1:08.96,04:20.0,368th,+1:12.34,04:04.2,869th,+1:59.09,04:01.4,503rd,+1:01.95,02:34.5,474th=,+0:31.25,02:29.8,264th,+0:23.49,03:44.2,208th=,+0:35.25,,
470th,630,Lewis Turner,Fish & Chips,M,Enduro | Master Male (30-39),25:28.4,+6:47.82,,,04:24.4,489th=,+1:19.15,04:47.0,582nd,+1:39.30,02:58.0,507th,+0:52.90,03:54.7,415th,+0:55.24,02:36.2,514th,+0:32.90,02:34.6,363rd,+0:28.21,04:13.6,490th=,+1:04.65,,
471st,417,Lloyd Lapidge,4dagram,M,Enduro | Veteran Male (40-49),25:28.6,+6:47.96,,,04:26.2,510th,+1:21.00,05:03.5,688th,+1:55.84,02:52.5,426th,+0:47.35,03:45.2,294th=,+0:45.80,02:33.0,443rd,+0:29.75,02:36.5,410th=,+0:30.10,04:11.7,473rd,+1:02.65,,
472nd,1040,Paul Appleby,Team Cheese,M,Enduro | Veteran Male (40-49),25:28.6,+6:47.99,,,04:00.5,240th=,+0:55.25,04:32.6,466th=,+1:24.99,02:49.3,386th=,+0:44.20,04:06.3,562nd,+1:06.89,02:35.8,505th,+0:32.60,02:43.8,592nd,+0:37.44,04:40.1,670th,+1:31.15,,
473rd,756,Russ Aspden,HSMTBC,M,Enduro | Veteran Male (40-49),25:28.8,+6:48.17,,,04:28.7,531st,+1:23.50,04:52.6,631st,+1:44.94,02:52.0,424th,+0:46.85,03:53.9,400th,+0:54.45,02:38.2,559th,+0:34.96,02:37.9,450th,+0:31.55,04:05.4,411th,+0:56.45,,
474th,830,Rhys Williams,Midpack Mafia,M,Enduro | Master Male (30-39),25:29.5,+6:48.91,,,04:03.9,279th,+0:58.66,04:20.4,373rd,+1:12.78,02:49.6,392nd=,+0:44.50,03:54.6,414th,+0:55.20,02:45.4,703rd,+0:42.11,02:43.6,590th=,+0:37.25,04:51.9,718th,+1:42.94,,
475th,627,Grant Ramsay,Fireroad5,M,Enduro | Veteran Male (40-49),25:30.0,+6:49.41,,,04:24.4,491st=,+1:19.16,04:30.6,454th,+1:22.93,02:53.6,446th,+0:48.50,03:47.0,314th,+0:47.55,02:39.3,596th,+0:36.09,02:39.4,486th=,+0:33.00,04:35.7,647th,+1:26.71,,
n/c,284,Osian Evans,RorysBalls,M,Enduro | Master Male (30-39),25:30.8,,,E,04:28.0,n/c,,04:37.8,n/c,,03:03.2,n/c,,03:53.8,n/c,,02:33.6,n/c,,02:44.2,n/c,,04:10.1,n/c,,,
476th,655,Lee Marshall,FoD Night Riders,M,Enduro | Veteran Male (40-49),25:30.9,+6:50.30,,,04:27.7,519th,+1:22.45,04:33.4,470th,+1:25.78,02:58.3,512th,+0:53.24,03:50.1,355th,+0:50.65,02:30.9,394th,+0:27.61,02:36.0,399th,+0:29.70,04:34.4,640th,+1:25.40,,
477th,1014,Connor Mclaren,High Peak Cycles RT,M,Enduro | Master Male (30-39),25:31.1,+6:50.47,,,04:34.9,588th=,+1:29.65,04:51.8,625th,+1:44.15,02:56.6,478th,+0:51.55,04:01.2,500th,+1:01.80,02:29.9,368th=,+0:26.65,02:34.8,368th,+0:28.45,04:01.8,382nd=,+0:52.75,,
478th,1175,Rachael Wight,Specialized UK,F,Enduro | Master Female (30-39),25:31.1,+6:50.49,,,04:18.0,430th,+1:12.79,04:48.4,594th=,+1:40.75,03:05.5,590th,+1:00.44,03:57.7,451st=,+0:58.30,02:33.8,460th=,+0:30.55,02:44.2,599th,+0:37.84,04:03.3,394th=,+0:54.35,,
479th,1044,Tom Bamber,The Bikes College,M,Enduro | Veteran Male (40-49),25:33.5,+6:52.88,,,04:23.7,484th,+1:18.45,04:19.8,364th,+1:12.14,03:00.4,532nd,+0:55.26,04:00.3,491st,+1:00.86,02:38.0,551st,+0:34.80,02:41.5,538th,+0:35.19,04:29.7,613th,+1:20.71,,
480th,373,Mark Richardson,Trec Faktory Racing,M,Enduro | Veteran Male (40-49),25:35.1,+6:54.52,,,04:40.8,639th=,+1:35.54,04:32.1,464th,+1:24.45,02:49.3,386th=,+0:44.20,04:06.7,567th=,+1:07.26,02:36.4,519th,+0:33.16,02:42.3,555th,+0:35.99,04:07.4,430th,+0:58.45,,
481st,219,Matthew Bailey,I Only Race For Cake,M,Enduro | Master Male (30-39),25:35.2,+6:54.66,,,04:32.1,557th,+1:26.85,04:42.2,539th,+1:34.54,02:50.7,407th,+0:45.65,04:02.3,511th,+1:02.85,02:31.3,406th,+0:28.04,02:36.2,403rd,+0:29.81,04:20.4,549th,+1:11.45,,
482nd,431,Justin Yates,82r,M,Enduro | Grand Vet Male (50+),25:35.4,+6:54.81,,,04:33.2,570th,+1:27.96,04:47.2,585th,+1:39.49,02:54.6,458th,+0:49.50,04:02.6,515th,+1:03.16,02:26.9,301st,+0:23.61,02:36.2,406th,+0:29.86,04:14.8,503rd,+1:05.76,,
483rd,890,Tom Zajdler,Side Berms,M,Enduro | Veteran Male (40-49),25:35.6,+6:54.98,,,04:52.7,727th,+1:47.50,04:25.8,418th,+1:18.10,02:59.6,523rd,+0:54.50,03:53.7,398th,+0:54.30,02:29.7,360th,+0:26.45,02:39.4,488th,+0:33.01,04:14.6,501st,+1:05.65,,
484th,604,Ian Griffin,Eric Rides,M,Enduro | Veteran Male (40-49),25:36.3,+6:55.68,,,04:23.0,476th,+1:17.71,04:39.3,516th,+1:31.63,02:53.8,450th,+0:48.70,04:07.1,573rd,+1:07.66,02:31.2,403rd=,+0:27.96,02:37.0,427th=,+0:30.65,04:24.9,579th,+1:15.90,,
485th,499,Ben Morrison,Borz Racing,M,Enduro | Veteran Male (40-49),25:37.1,+6:56.50,,,04:58.0,757th,+1:52.75,04:32.9,468th,+1:25.23,02:57.8,502nd,+0:52.70,03:58.7,467th,+0:59.24,02:38.1,552nd=,+0:34.81,02:39.5,490th,+0:33.15,03:52.2,289th,+0:43.15,,
486th,856,Graham Dalton,Tallywacker Racing,M,Enduro | Master Male (30-39),25:38.3,+6:57.71,,,04:03.1,267th,+0:57.85,05:35.1,797th,+2:27.44,03:00.5,534th,+0:55.36,03:53.2,394th=,+0:53.74,02:29.4,354th,+0:26.14,02:38.0,453rd=,+0:31.65,03:59.1,360th,+0:50.06,,
n/c,793,Simon Mudd,Leyburn Bikes,M,Enduro | Veteran Male (40-49),25:38.9,,,E,04:42.8,n/c,,04:58.5,n/c,,03:00.5,n/c,,03:52.3,n/c,,02:33.0,n/c,,02:38.5,n/c,,03:53.4,n/c,,,
487th,740,Dan Brown,Southcoast Suspension / Bike Stable,M,Enduro | Veteran Male (40-49),25:39.1,+6:58.52,,,04:28.6,528th=,+1:23.34,04:40.6,530th,+1:32.95,03:09.2,635th=,+1:04.15,04:02.2,508th=,+1:02.80,02:32.7,439th=,+0:29.45,02:36.4,409th,+0:30.05,04:09.3,453rd,+1:00.31,,
488th,825,Jake Dean,Midpack Mafia,M,Enduro | Senior Male (18-29),25:39.4,+6:58.81,,,04:15.3,389th=,+1:10.04,04:17.4,350th,+1:09.74,02:54.3,454th=,+0:49.15,03:54.4,408th=,+0:54.90,02:42.9,662nd=,+0:39.60,02:44.0,596th,+0:37.66,04:51.2,716th,+1:42.25,,
489th,1074,Tom Wise,Team Tom,M,Enduro | Master Male (30-39),25:39.6,+6:59.04,,,04:26.9,516th,+1:21.66,04:49.6,608th,+1:41.90,02:56.7,479th,+0:51.56,03:56.4,435th,+0:57.00,02:35.1,491st,+0:31.89,02:37.7,446th=,+0:31.40,04:17.2,524th=,+1:08.16,,
490th,898,Stephen Larkins,Some Faff,M,Enduro | Veteran Male (40-49),25:40.0,+6:59.36,,,04:37.1,604th,+1:31.85,04:38.7,511th,+1:31.09,03:00.0,527th,+0:54.90,03:53.8,399th,+0:54.40,02:26.8,297th=,+0:23.55,02:40.8,514th,+0:34.40,04:22.7,564th,+1:13.70,,
491st,103,Aaron Harrison,The Hills Have Eyes,M,Enduro | Veteran Male (40-49),25:40.1,+6:59.46,,,04:18.4,438th,+1:13.11,04:50.9,617th,+1:43.23,02:58.3,511th,+0:53.19,04:02.8,519th,+1:03.36,02:34.7,479th,+0:31.45,02:40.6,512th,+0:34.29,04:14.4,497th=,+1:05.36,,
492nd,817,Thomas James,Colne Valley Cycles,M,Enduro | Senior Male (18-29),25:40.8,+7:00.24,,,04:13.1,363rd,+1:07.89,04:22.5,393rd,+1:14.84,03:07.9,617th,+1:02.80,04:36.8,781st,+1:37.39,02:37.1,532nd,+0:33.89,02:38.6,465th=,+0:32.21,04:04.7,407th,+0:55.75,,
493rd,86,David Coates,One Planet Adventure,M,Enduro | Senior Male (18-29),25:42.0,+7:01.42,,,03:59.8,236th,+0:54.56,04:08.0,263rd,+1:00.38,02:47.6,353rd,+0:42.49,05:56.9,878th,+2:57.45,02:28.1,326th=,+0:24.80,02:31.7,299th,+0:25.31,03:50.0,268th,+0:40.96,,
494th,863,Guy Batchelor,Murthly MTB,M,Enduro | Grand Vet Male (50+),25:44.3,+7:03.66,,,04:27.8,523rd,+1:22.60,04:25.4,411th,+1:17.74,02:57.8,503rd=,+0:52.75,03:50.3,359th,+0:50.86,02:41.7,639th=,+0:38.44,02:45.9,628th=,+0:39.55,04:35.2,643rd,+1:26.25,,
495th,473,Ben Holloway,Baby Apple Arm,M,Enduro | Master Male (30-39),25:44.4,+7:03.77,,,04:22.2,466th,+1:16.91,05:01.8,681st=,+1:54.19,02:59.5,521st,+0:54.36,04:02.6,514th,+1:03.15,02:31.9,422nd,+0:28.65,02:37.5,442nd,+0:31.19,04:08.9,447th=,+0:59.85,,
496th,478,Tim Aris,Banana Industries,M,Enduro | Master Male (30-39),25:45.2,+7:04.58,,,04:42.5,653rd,+1:37.25,04:55.8,647th,+1:48.19,02:56.6,476th,+0:51.46,03:58.4,461st,+0:58.95,02:39.1,587th=,+0:35.80,02:39.7,494th,+0:33.36,03:53.1,300th,+0:44.10,,
497th,611,Matthew Stott,,M,Enduro | Veteran Male (40-49),25:48.1,+7:07.52,,,04:28.3,525th,+1:23.00,04:39.7,522nd=,+1:32.09,03:07.6,615th,+1:02.51,04:01.3,501st,+1:01.84,02:38.3,560th=,+0:35.00,02:44.3,601st,+0:37.95,04:08.7,444th,+0:59.66,,
498th,946,Adam Revill,Pushrodders,M,Enduro | Master Male (30-39),25:49.5,+7:08.87,,,04:22.0,464th,+1:16.71,04:23.7,402nd,+1:16.04,03:02.8,559th,+0:57.70,04:08.0,586th,+1:08.55,02:38.3,560th=,+0:35.00,02:40.6,511th,+0:34.25,04:34.1,636th,+1:25.15,,
499th,927,Jack Hanson,PALS,M,Enduro | Master Male (30-39),25:50.6,+7:09.99,,,04:30.1,543rd,+1:24.85,04:20.0,369th,+1:12.39,02:59.9,526th,+0:54.76,03:55.5,424th=,+0:56.05,02:40.7,619th,+0:37.46,02:46.2,635th,+0:39.80,04:38.2,663rd=,+1:29.21,,
500th,457,Matt Lamb,Anonymous Beavers,M,Enduro | Veteran Male (40-49),25:50.9,+7:10.34,,,04:35.9,595th,+1:30.60,04:39.6,521st,+1:31.94,03:04.3,576th=,+0:59.15,04:09.9,607th=,+1:10.45,02:36.1,510th,+0:32.84,02:37.1,431st=,+0:30.75,04:08.1,436th,+0:59.14,,
501st,650,Chris Kirby,FN Squad,M,Enduro | Master Male (30-39),25:52.6,+7:11.97,,,04:16.2,404th,+1:11.00,04:37.0,494th,+1:29.39,03:03.9,574th,+0:58.81,04:10.4,613th,+1:11.00,02:36.5,520th,+0:33.25,02:42.5,561st,+0:36.15,04:25.9,586th,+1:16.90,,
502nd,654,Dan Bridgewater,FoD Night Riders,M,Enduro | Master Male (30-39),25:52.6,+7:11.98,,,04:26.5,514th,+1:21.29,04:48.9,598th,+1:41.20,03:00.3,531st,+0:55.25,03:52.5,385th=,+0:53.01,02:31.6,414th,+0:28.35,02:43.2,574th=,+0:36.80,04:29.6,612th,+1:20.61,,
503rd,333,Philip Taylor,Swaledale Winton,M,Enduro | Veteran Male (40-49),25:53.4,+7:12.84,,,04:44.4,667th,+1:39.15,04:35.2,483rd,+1:27.50,03:04.6,584th,+0:59.46,04:02.4,512th,+1:02.94,02:39.3,593rd=,+0:36.05,02:40.2,504th,+0:33.81,04:07.5,431st,+0:58.46,,
504th,752,William Lee,Hopethegoatsmokes,M,Enduro | Veteran Male (40-49),25:53.8,+7:13.17,,,04:38.6,614th,+1:33.31,04:35.2,486th,+1:27.59,03:02.3,552nd,+0:57.20,04:04.1,532nd,+1:04.60,02:32.3,429th=,+0:29.09,02:42.8,568th,+0:36.45,04:18.5,535th,+1:09.46,,
505th,416,Ben Sapsford,Crow Racing,M,Enduro | Veteran Male (40-49),25:54.2,+7:13.66,,,04:32.2,558th,+1:26.96,04:51.7,623rd=,+1:44.09,03:03.2,565th,+0:58.05,03:54.4,408th=,+0:54.90,02:34.9,486th,+0:31.69,02:38.8,474th,+0:32.44,04:19.1,540th,+1:10.06,,
506th,394,Dan Cooke,Renegades,M,Enduro | Veteran Male (40-49),25:54.9,+7:14.29,,,04:47.5,682nd=,+1:42.25,04:41.2,533rd,+1:33.54,03:05.7,593rd,+1:00.59,04:06.8,569th=,+1:07.30,02:32.6,436th,+0:29.31,02:33.5,341st=,+0:27.19,04:07.6,433rd,+0:58.64,,
507th,866,David Coggins,,M,Enduro | Master Male (30-39),25:55.1,+7:14.53,,,05:26.4,848th,+2:21.16,05:07.3,708th,+1:59.68,02:46.6,347th,+0:41.46,03:48.7,341st,+0:49.30,02:26.0,271st,+0:22.70,02:29.5,253rd,+0:23.16,03:50.6,274th=,+0:41.60,,
508th,574,Jack Hyde,Flow Cycles,M,Enduro | Master Male (30-39),25:55.7,+7:15.13,,,04:20.6,457th,+1:15.40,04:39.3,515th,+1:31.60,03:03.2,566th,+0:58.10,04:09.8,605th,+1:10.35,02:38.9,580th=,+0:35.60,02:48.2,677th,+0:41.80,04:15.8,514th,+1:06.81,,
509th,563,Justin Haigh,Dirty Old Men,M,Enduro | Grand Vet Male (50+),25:55.8,+7:15.24,,,04:25.9,507th,+1:20.66,04:35.2,484th,+1:27.53,03:00.1,528th,+0:55.01,04:05.3,552nd,+1:05.84,02:39.1,590th,+0:35.85,02:43.2,576th=,+0:36.84,04:27.0,596th,+1:18.04,,
510th,530,Jez Westgarth,Forbidden bike company,M,Enduro | Veteran Male (40-49),25:55.9,+7:15.34,,,04:24.6,497th,+1:19.35,04:58.0,661st,+1:50.34,02:53.5,443rd=,+0:48.40,04:03.4,524th,+1:03.96,02:37.0,531st,+0:33.76,02:38.3,460th,+0:31.95,04:21.1,556th,+1:12.11,,
511th,180,William Garnet,Catalina Wine Mixer,M,Enduro | Master Male (30-39),25:56.4,+7:15.86,,,04:26.4,512th,+1:21.11,04:39.6,520th,+1:31.89,03:10.0,645th,+1:04.95,04:10.3,610th=,+1:10.84,02:40.5,614th=,+0:37.25,02:43.6,590th=,+0:37.25,04:06.1,417th,+0:57.10,,
512th,392,Mike Williams,Renegades,M,Enduro | Master Male (30-39),25:56.7,+7:16.07,,,04:55.7,742nd=,+1:50.50,04:37.7,503rd,+1:30.00,03:04.7,586th,+0:59.60,03:54.2,406th=,+0:54.80,02:30.3,382nd,+0:27.09,02:34.5,362nd,+0:28.11,04:19.5,543rd,+1:10.50,,
513th,506,Louis Saunders,Brr factory racing,M,Enduro | Senior Male (18-29),25:57.2,+7:16.57,,,04:48.4,692nd,+1:43.11,05:04.1,692nd,+1:56.44,02:55.0,462nd=,+0:49.90,03:53.1,393rd,+0:53.70,02:29.2,352nd=,+0:25.90,02:36.5,415th,+0:30.15,04:10.9,469th,+1:01.90,,
514th,415,Tim Condran,4dagram,M,Enduro | Veteran Male (40-49),25:57.5,+7:16.89,,,04:40.1,635th,+1:34.84,04:42.9,543rd,+1:35.28,03:03.0,564th,+0:57.86,03:57.1,443rd,+0:57.60,02:33.3,446th=,+0:30.00,02:39.8,495th=,+0:33.40,04:21.4,559th=,+1:12.44,,
n/c,1196,Danny Macaskill,Red Bull,M,Enduro | Master Male (30-39),25:58.9,,,E,03:52.9,n/c,,03:36.3,n/c,,06:19.8,n/c,,03:30.8,n/c,,02:30.4,n/c,,02:41.9,n/c,,03:26.7,n/c,,,
515th,1066,Harry Sludds,Team Sludds,M,Enduro | Senior Male (18-29),25:59.6,+7:19.00,,,04:47.2,679th=,+1:42.00,04:52.8,634th,+1:45.19,03:03.8,573rd,+0:58.74,03:57.1,444th=,+0:57.65,02:32.8,441st,+0:29.50,02:39.6,492nd=,+0:33.30,04:06.2,418th,+0:57.15,,
516th,728,Nick Marriott,Granny Coggers,M,Enduro | Grand Vet Male (50+),26:00.0,+7:19.43,,,04:14.2,378th,+1:08.95,05:09.7,720th,+2:02.09,02:48.3,364th,+0:43.15,04:19.6,697th,+1:20.11,02:36.1,511th=,+0:32.85,02:39.4,489th,+0:33.10,04:12.7,484th,+1:03.71,,
517th,382,Ollie Mant,,M,Enduro | Senior Male (18-29),26:02.4,+7:21.79,,,03:48.9,142nd,+0:43.61,04:01.5,220th,+0:53.80,02:27.4,91st=,+0:22.25,03:28.1,103rd,+0:28.66,06:22.1,885th,+4:18.85,02:22.0,102nd,+0:15.65,03:32.5,104th,+0:23.50,,
518th,999,Simon Nash,Sober Racing,M,Enduro | Grand Vet Male (50+),26:02.8,+7:22.22,,,04:34.0,580th,+1:28.80,04:45.2,568th,+1:37.55,03:05.5,589th,+1:00.40,04:01.4,502nd,+1:01.90,02:37.5,540th,+0:34.20,02:45.6,620th=,+0:39.25,04:13.6,490th=,+1:04.65,,
519th,607,Dieter Visser,Eric Rides,M,Enduro | Veteran Male (40-49),26:04.1,+7:23.53,,,04:50.4,708th,+1:45.15,04:48.3,593rd,+1:40.69,02:52.4,425th,+0:47.31,04:02.1,507th,+1:02.70,02:31.1,400th,+0:27.85,02:32.9,328th=,+0:26.55,04:26.8,592nd,+1:17.81,,
520th,899,Stuart Larkins,Some Faff,M,Enduro | Master Male (30-39),26:04.3,+7:23.67,,,04:20.5,456th,+1:15.25,04:43.3,547th,+1:35.68,03:03.3,568th,+0:58.19,04:03.5,525th,+1:04.01,02:34.7,478th,+0:31.40,02:47.6,668th,+0:41.26,04:31.4,623rd,+1:22.41,,
521st,757,Alex Hume,Team Hume,M,Enduro | Master Male (30-39),26:04.3,+7:23.68,,,04:38.9,616th=,+1:33.60,04:34.6,479th,+1:26.94,03:08.7,624th=,+1:03.65,04:05.2,550th=,+1:05.71,02:37.4,537th,+0:34.10,02:45.1,611th=,+0:38.75,04:14.5,500th,+1:05.46,,
n/c,585,James House,DVATC,M,Enduro | Grand Vet Male (50+),26:04.4,,,E,04:37.1,n/c,,04:44.8,n/c,,03:06.2,n/c,,04:05.0,n/c,,02:34.5,n/c,,02:41.9,n/c,,04:15.0,n/c,,,
522nd,1049,Laura Allan,Vitus Bikes & Michelin,F,Enduro | Master Female (30-39),26:04.5,+7:23.94,,,04:38.4,612th,+1:33.19,04:39.7,522nd=,+1:32.09,02:56.7,480th,+0:51.61,04:04.2,538th,+1:04.71,02:42.6,654th=,+0:39.35,02:50.9,717th,+0:44.56,04:12.0,478th=,+1:02.96,,
523rd,653,Ben Bridgewater,FoD Night Riders,M,Enduro | Master Male (30-39),26:05.1,+7:24.52,,,04:36.4,601st,+1:31.19,04:50.0,612th,+1:42.34,03:02.6,555th,+0:57.55,03:55.5,426th,+0:56.06,02:40.2,609th,+0:36.95,02:45.2,616th,+0:38.90,04:15.1,506th,+1:06.06,,
