Pos,No.,Name,Team,Class,Time,Behind,Hardtail,S1: Fox Racing,S1: Fox Racing Position,S2: Camelbak,S2: Camelbak Position,S3: Maxxis,S3: Maxxis Position,S4: Hope,S4: Hope Position,S5: Peatys,S5: Peatys Position,S6: Exposure,S6: Exposure Position,S7: Julbo,S7: Julbo Position
762nd,125,Andrew Dranfield,Buxton MTB,Enduro | Grand Vet Male,00:28:43.0,+9:17.19, ,00:05:53.3,823rd,00:04:36.4,823rd,00:04:10.8,785th,00:04:21.3,835th,00:03:10.6,916th=,00:03:26.1,918th,00:03:04.5,720th=
763rd,319,Rob Smith,Smith and Smith,Enduro | Master Male,00:28:44.2,+9:18.39, ,00:06:04.8,865th,00:04:41.2,854th,00:04:30.0,863rd,00:04:14.1,796th,00:03:03.4,885th,00:03:06.8,772nd,00:03:03.9,712th
764th,1077,Liz Gatu, ,Enduro | Master Female,00:28:45.8,+9:20.03, ,00:05:54.1,827th,00:04:25.3,765th,00:04:17.8,825th,00:04:28.8,865th,00:03:01.7,871st,00:03:21.0,903rd,00:03:17.2,816th
765th,803,Andrew Schofield,RAD BIKE SHACK,Enduro | Master Male,00:28:47.9,+9:22.08, ,00:10:46.8,1013th,00:03:28.0,152nd,00:03:17.2,141st,00:03:28.6,217th,00:02:29.9,177th,00:02:43.3,177th=,00:02:34.0,233rd
766th,829,Damian Dreher,Trumtpon,Enduro | Veteran Male,00:28:50.2,+9:24.47, ,00:06:08.7,878th,00:04:47.3,873rd,00:03:55.5,673rd,00:04:25.0,850th,00:03:05.4,893rd,00:03:16.7,877th,00:03:11.5,780th
767th,915,James Ashley, ,Enduro | Veteran Male,00:28:51.0,+9:25.23, ,00:05:53.2,822nd,00:04:56.0,894th,00:04:08.8,775th,00:04:19.0,824th,00:03:01.0,866th,00:03:15.3,866th,00:03:17.6,819th
768th,105,Andrea Bishop,BOLLOCKNACK UK,Enduro | Master Female,00:28:52.4,+9:26.64, ,00:06:29.4,931st,00:04:25.4,767th,00:04:38.8,887th,00:04:09.6,771st,00:02:57.9,834th,00:03:06.7,768th,00:03:04.7,722nd
769th,451,Phillip Davies, ,Enduro | Master Male,00:28:53.4,+9:27.58, ,00:05:55.7,836th,00:04:37.0,826th,00:04:20.0,836th,00:04:34.1,874th,00:02:54.1,788th=,00:03:14.7,862nd,00:03:17.7,820th
770th,336,Jon Barnett, ,Enduro | Veteran Male,00:28:53.7,+9:27.97, ,00:05:55.0,830th,00:04:54.6,890th,00:04:13.0,802nd,00:04:11.8,785th,00:03:06.3,897th,00:03:19.7,891st,00:03:13.5,799th
771st,940,Dave Clark,Team Nobcheese,Enduro | Veteran Male,00:28:55.4,+9:29.63, ,00:07:29.6,981st,00:04:26.1,770th,00:04:00.1,717th,00:04:03.8,708th,00:02:47.9,663rd=,00:03:10.4,821st,00:02:57.5,642nd
772nd,744,Brett Davies-Wareing,Norfolk n Chance,Enduro | Master Male,00:28:55.6,+9:29.80, ,00:05:48.6,790th,00:04:34.0,812th,00:04:16.2,817th,00:04:24.2,845th,00:03:09.5,910th,00:03:23.1,909th,00:03:20.0,831st
773rd,225,Martin Boyle,Ardshlong,Enduro | Veteran Male,00:28:55.9,+9:30.16, ,00:06:05.8,869th,00:04:35.1,818th,00:04:38.0,884th,00:04:19.4,827th,00:02:59.9,855th,00:03:07.4,787th=,00:03:10.3,763rd
774th,597,Kevin Booth,Leyburn Bikes,Enduro | Master Male,00:28:56.6,+9:30.87, ,00:05:25.7,622nd,00:03:58.9,513th,00:03:39.5,489th,00:03:50.5,564th,00:02:40.1,476th,00:02:56.1,541st,00:06:25.9,955th
775th,408,Damien Postlethwaite,Spokes MTB Club,Enduro | Master Male,00:28:58.0,+9:32.26, ,00:06:24.7,913th,00:04:40.3,847th,00:04:13.7,804th,00:04:16.7,810th,00:02:57.4,831st,00:03:14.7,861st,00:03:10.5,768th
776th,595,James Atkins,Leyburn Bikes,Enduro | Senior Male,00:28:59.2,+9:33.43, ,00:05:09.7,449th,00:07:55.4,1002nd,00:03:47.1,584th,00:03:35.8,309th=,00:02:43.9,579th=,00:02:56.9,564th,00:02:50.5,540th
777th,204,Seb Hampson,Marehay Vauxhall,Enduro | Master Male,00:29:00.7,+9:34.89, ,00:05:53.9,825th,00:04:48.9,876th,00:04:25.6,853rd,00:04:16.5,809th,00:03:08.1,906th,00:03:15.7,872nd,00:03:12.0,786th
778th,977,Andrew Infield,The Woollybacks,Enduro | Grand Vet Male,00:29:01.5,+9:35.74, ,00:06:16.9,899th,00:04:57.4,901st,00:04:05.0,753rd,00:04:36.0,879th,00:02:51.7,746th,00:03:09.7,814th,00:03:04.8,725th
779th,236,Guy Nevison,Army Enduro MTB Team,Enduro | Master Male,00:29:02.3,+9:36.50, ,00:04:43.3,146th,00:03:25.7,133rd,00:03:32.5,358th,00:08:39.9,957th,00:02:52.6,763rd,00:03:07.4,785th,00:02:40.9,359th
780th,507,Julie Greengrass,Twelve50 Bikes,Enduro | Veteran Female,00:29:05.5,+9:39.74, ,00:06:09.0,882nd,00:04:45.7,868th,00:04:08.6,774th,00:04:20.0,831st,00:02:56.3,820th,00:03:15.8,873rd,00:03:30.1,858th
781st,943,Jason Dodd, ,Enduro | Master Male,00:29:05.5,+9:39.76, ,00:05:56.4,841st,00:05:24.0,949th,00:04:23.0,846th,00:04:11.0,776th,00:02:49.5,712th,00:03:07.0,778th,00:03:14.8,806th
782nd,635,Dominic Coward,Manx Ard Rockers,Enduro | Veteran Male,00:29:07.3,+9:41.58, ,00:06:31.2,934th,00:04:50.7,880th,00:04:24.4,850th,00:04:18.5,820th,00:02:55.9,811th,00:03:06.5,766th,00:03:00.3,678th
783rd,193,Elaine Dowon,Thirsk Massive,Enduro | Veteran Female,00:29:08.2,+9:42.40, ,00:06:05.7,868th,00:04:42.4,858th,00:04:26.8,858th,00:04:20.9,834th,00:03:04.4,888th,00:03:20.1,897th,00:03:07.8,749th
784th,298,Lee Reveley,BIG RIG RACING,Enduro | Veteran Male,00:29:08.5,+9:42.72, ,00:06:10.8,888th,00:05:05.5,917th,00:04:17.4,822nd,00:04:15.4,802nd,00:03:00.6,861st,00:03:07.7,793rd,00:03:11.1,776th
785th,296,Robert Irwin, ,Enduro | Senior Male,00:29:09.4,+9:43.61, ,00:05:37.0,708th,00:04:41.2,853rd,00:04:33.2,872nd,00:04:00.1,673rd,00:02:59.4,849th,00:03:10.4,819th=,00:04:08.1,929th
786th,773,Kirk Richards,Pines pussies,Enduro | Master Male,00:29:10.3,+9:44.53, ,00:06:25.1,914th,00:04:56.7,897th,00:04:10.9,786th,00:04:15.4,803rd,00:02:59.5,850th,00:03:11.8,837th,00:03:11.0,774th
787th,420,Paul Newsham, ,Enduro | Grand Vet Male,00:29:11.5,+9:45.77, ,00:06:11.1,889th,00:04:43.5,860th,00:04:04.6,750th,00:05:03.5,923rd,00:02:51.9,755th,00:03:13.0,847th,00:03:04.0,714th
788th,215,Simon Croft,ellmore factry racing,Enduro | Grand Vet Male,00:29:13.7,+9:47.92, ,00:06:06.5,871st=,00:04:58.0,902nd,00:04:32.0,869th,00:04:17.7,817th,00:02:56.1,815th,00:03:10.8,826th,00:03:12.7,790th
789th,328,Paul Burford,Badger Racing,Enduro | Hardtail Male,00:29:14.0,+9:48.26, ,00:05:06.1,383rd,00:03:43.2,322nd,00:09:11.6,968th,00:03:32.1,258th,00:02:29.1,155th,00:02:37.7,83rd,00:02:34.3,240th
790th,801,Adam Shepard,RAD BIKE SHACK,Enduro | Master Male,00:29:15.7,+9:49.94, ,00:04:46.2,178th,00:03:28.0,151st,00:09:06.6,967th,00:04:07.4,744th,00:02:27.1,118th,00:02:44.7,217th,00:02:35.7,261st
791st,883,Kevin Sheppard,Squeelers Wheelers,Enduro | Veteran Male,00:29:17.1,+9:51.37, ,00:05:55.3,834th,00:04:26.7,773rd,00:05:07.6,925th,00:04:19.4,828th,00:02:57.1,828th,00:03:18.2,884th,00:03:12.8,792nd=
792nd,148,Trevor Meloy,Trace Defrein,Enduro | Veteran Male,00:29:17.9,+9:52.11, ,00:06:04.0,864th,00:04:44.1,864th,00:04:28.2,861st,00:04:29.7,867th=,00:03:07.9,904th,00:03:11.5,832nd,00:03:12.5,787th=
793rd,375,Melissa Hewitt,Cardiff University Mountain Biking Team,Enduro | Senior Female,00:29:20.2,+9:54.43, ,00:06:10.7,887th,00:04:38.9,836th=,00:04:17.5,823rd=,00:04:41.4,895th,00:03:03.3,883rd,00:03:08.0,798th,00:03:20.4,832nd
794th,311,Thomas Hornsby,BikeSquad,Enduro | Senior Male,00:29:23.2,+9:57.38, ,00:06:05.3,866th,00:05:01.1,909th,00:04:18.4,827th,00:04:30.4,869th,00:03:01.3,869th,00:03:05.6,747th,00:03:20.9,834th
795th,263,Michael Williams,B&DCC,Enduro | Grand Vet Male,00:29:25.7,+9:59.96, ,00:06:13.0,893rd,00:04:31.0,798th,00:04:26.7,857th,00:04:24.4,847th,00:03:11.9,921st,00:03:21.2,904th,00:03:17.5,818th
796th,886,Matthew Cassidy,Squeelers Wheelers,Enduro | Veteran Male,00:29:27.6,+10:01.86, ,00:05:50.1,804th,00:04:31.8,800th,00:04:35.7,879th=,00:04:01.6,688th,00:02:44.1,588th,00:03:05.4,743rd,00:04:38.9,943rd
797th,1032,Thomas Simons,Rother Valley Riders,Enduro | Master Male,00:29:29.3,+10:03.55, ,00:05:25.7,623rd,00:04:16.2,697th,00:03:55.5,674th,00:06:55.1,952nd,00:02:45.0,619th,00:03:07.2,781st=,00:03:04.7,723rd
798th,462,William Foster, ,Enduro | Master Male,00:29:31.2,+10:05.45, ,00:06:26.3,919th,00:04:41.0,852nd,00:04:27.3,859th,00:04:22.6,840th,00:03:02.0,874th,00:03:18.7,887th,00:03:13.3,797th
799th,345,Matthew Hamer, ,Enduro | Senior Male,00:29:35.7,+10:09.91, ,00:05:41.2,745th,00:04:18.7,719th,00:06:14.9,951st,00:04:23.0,841st,00:02:53.5,781st,00:03:03.0,690th,00:03:01.4,691st=
800th,363,Wayne Mcgill,Team Meow,Enduro | Master Male,00:29:36.2,+10:10.42, ,00:05:50.6,808th,00:04:42.8,859th,00:04:39.1,889th,00:04:27.6,859th,00:03:05.3,891st,00:03:37.1,943rd,00:03:13.7,800th
801st,1132,Jonny Ward, ,Enduro | Senior Male,00:29:39.0,+10:13.25, ,00:05:55.7,837th,00:04:04.5,575th,00:06:50.9,957th,00:04:12.0,786th,00:02:46.9,650th,00:02:59.9,637th=,00:02:49.2,517th
802nd,81,Chris Leng, ,Enduro | Veteran Male,00:29:39.1,+10:13.36, ,00:06:08.9,880th,00:04:51.8,881st,00:04:27.8,860th,00:04:17.4,814th,00:03:17.1,945th,00:03:21.4,905th,00:03:14.7,805th
803rd,181,John Carroll,The Wheelbarrows,Enduro | Master Male,00:29:43.2,+10:17.40, ,00:06:01.5,853rd,00:04:31.9,802nd,00:04:11.2,789th,00:05:10.7,928th,00:03:30.6,963rd,00:03:06.5,767th,00:03:10.6,769th
804th,925,Tom Dryden,Team ABR,Enduro | Senior Male,00:29:45.0,+10:19.18, ,00:04:29.1,62nd,00:03:13.9,59th,00:03:04.0,35th,00:03:12.4,55th,00:02:17.0,13th,00:03:02.1,673rd,00:10:26.6,966th
805th,677,Lynne Davies,Midlothian Cycle Club,Enduro | Veteran Female,00:29:48.3,+10:22.56, ,00:06:12.6,891st,00:05:03.9,914th,00:04:22.0,841st,00:04:28.6,863rd,00:03:03.1,879th=,00:03:16.9,880th,00:03:21.3,836th
806th,303,Dom Whyte,Bigfoot MBC,Enduro | Grand Vet Male,00:29:51.8,+10:26.01, ,00:05:56.2,840th,00:04:52.9,885th,00:04:09.8,782nd,00:04:16.4,808th,00:04:05.1,971st,00:03:16.8,879th,00:03:14.6,804th
807th,475,Clem Forrester,Gears & Beers,Enduro | Master Female,00:29:52.3,+10:26.50, ,00:06:15.3,897th,00:04:56.7,898th,00:04:23.1,848th,00:04:29.1,866th,00:03:07.3,900th,00:03:16.6,876th,00:03:24.1,845th
808th,476,Tom Manchester,Gears & Beers,Enduro | Senior Male,00:29:54.3,+10:28.48, ,00:09:20.1,1003rd,00:04:17.6,709th,00:03:45.4,564th,00:03:55.3,616th=,00:02:44.6,606th,00:02:57.2,580th,00:02:54.1,586th
809th,561,Michael Taouxis,Knee,Enduro | Master Male,00:29:55.2,+10:29.45, ,00:06:10.2,884th,00:08:09.5,1005th,00:03:51.0,637th,00:03:45.7,487th,00:02:35.6,328th,00:02:43.7,185th,00:02:39.6,328th
810th,825,Sam Downer,Sam Downer,Enduro | Veteran Male,00:29:55.8,+10:30.03, ,00:05:59.8,849th,00:05:02.2,911th,00:03:58.8,704th,00:04:26.7,857th,00:03:00.6,862nd,00:04:05.5,962nd,00:03:22.2,842nd
811th,323,Gillian Fletcher, ,Enduro | Senior Female,00:29:56.4,+10:30.62, ,00:06:33.7,938th,00:05:11.1,929th,00:04:22.6,844th,00:04:24.1,844th,00:02:59.0,843rd,00:03:08.8,807th,00:03:17.0,814th
812th,410,Kevin Clewes,Spokes MTB Club,Enduro | Grand Vet Male,00:29:57.9,+10:32.13, ,00:06:30.2,933rd,00:04:43.5,861st,00:04:48.1,906th,00:04:27.6,860th,00:03:01.2,867th,00:03:16.8,878th,00:03:10.4,766th
813th,1005,Jamie Thorne, ,Enduro | Senior Male,00:30:00.3,+10:34.51, ,00:05:16.1,513th,00:07:48.3,1001st,00:04:07.1,765th,00:04:03.8,707th,00:02:43.2,566th=,00:02:55.1,516th,00:03:06.7,738th
814th,276,David Maggs,Thames Valley Police,Enduro | Master Male,00:30:00.8,+10:35.06, ,00:05:44.4,766th,00:04:34.7,816th,00:05:39.2,941st,00:04:19.1,825th,00:03:09.8,911th=,00:03:18.5,885th=,00:03:15.1,807th
815th,815,Victoria Ratcliffe,Somerzet Shredderz,Enduro | Veteran Female,00:30:02.1,+10:36.29, ,00:06:01.7,856th,00:05:13.0,933rd,00:04:26.0,854th,00:04:28.0,861st,00:03:02.5,875th,00:03:20.8,901st,00:03:30.2,859th
816th,460,Russell Cosh,Swinley Bike Hub,Enduro | Veteran Male,00:30:02.9,+10:37.11, ,00:05:04.1,354th,00:03:57.0,494th=,00:03:34.1,387th,00:09:21.7,958th,00:02:36.5,361st,00:02:49.7,354th,00:02:39.8,334th
817th,1050,John Armitstead,Stage 1 Cycles Hawes,Enduro | Master Male,00:30:07.8,+10:42.08, ,00:05:54.9,829th,00:05:01.3,910th,00:04:20.5,838th,00:04:36.5,882nd,00:03:10.7,918th,00:03:25.8,916th,00:03:38.2,881st
818th,377,Guy Bryson,Dalbeattie Hairy Bikers,Enduro | Veteran Male,00:30:08.8,+10:42.99, ,00:06:57.4,961st,00:05:21.6,944th,00:04:04.0,748th,00:04:18.5,819th,00:03:00.5,860th,00:03:03.5,700th,00:03:23.3,844th
819th,465,Dylan Coombes,Pepe The Frog Racing,Enduro | Senior Male,00:30:16.3,+10:50.54, ,00:06:27.2,922nd,00:05:15.6,936th,00:04:34.4,874th,00:04:28.0,862nd,00:02:49.6,717th,00:03:07.2,781st=,00:03:34.3,873rd
820th,844,Lance Gauld,SAMM,Enduro | Grand Vet Male,00:30:17.4,+10:51.62, ,00:06:39.1,949th,00:05:19.4,943rd,00:04:08.1,772nd,00:04:34.8,876th,00:03:02.0,872nd,00:03:19.7,893rd,00:03:14.3,803rd
821st,7,Gary Drake,Giant Store Southampton,Enduro | Master Male,00:30:21.8,+10:56.04, ,00:04:31.0,68th,00:03:16.4,73rd,00:03:10.7,80th,00:03:10.9,44th,00:02:24.6,77th,00:02:36.8,71st,00:11:11.4,967th
822nd,501,Samuel Mogey,The Guards Enduro Team,Enduro | Senior Male,00:30:21.9,+10:56.13, ,00:06:20.5,904th,00:05:02.8,913th,00:04:50.9,909th,00:04:22.2,837th,00:03:05.0,890th,00:03:12.9,846th,00:03:27.6,853rd
823rd,37,Dan Pardesi,Starling Cycles,Enduro | Master Male,00:30:22.0,+10:56.23, ,00:05:49.8,799th,00:10:33.2,1011th,00:03:12.2,94th,00:03:13.3,66th,00:02:33.0,253rd,00:02:37.8,84th,00:02:22.6,78th
824th,147,Matt Booker,Trace Defrein,Enduro | Veteran Male,00:30:22.5,+10:56.74, ,00:06:28.6,930th,00:04:49.1,877th,00:04:44.5,898th,00:04:37.9,888th,00:03:10.2,914th,00:03:15.4,868th,00:03:16.8,813th
825th,316,Stephen O'Shea,Blazing Saddles,Enduro | Veteran Male,00:30:25.1,+10:59.37, ,00:05:51.9,813th,00:05:15.6,937th,00:05:08.9,926th,00:04:25.3,853rd,00:02:59.7,853rd,00:03:09.7,813th,00:03:34.1,872nd
826th,560,Tom Stewart, ,Enduro | Senior Male,00:30:25.5,+10:59.72, ,00:06:01.8,857th,00:04:45.0,866th,00:04:31.7,868th,00:04:47.3,906th,00:03:16.0,941st,00:03:18.9,889th,00:03:44.8,899th
827th,950,William Henaghan,Team Zurpetron,Enduro | Veteran Male,00:30:26.4,+11:00.62, ,00:06:28.2,927th,00:05:05.6,919th,00:04:34.0,873rd,00:04:39.4,891st,00:03:01.3,870th,00:03:18.8,888th,00:03:19.0,827th
828th,421,Emma Reader, ,Enduro | Master Female,00:30:27.8,+11:02.05, ,00:06:22.1,909th,00:05:12.6,932nd,00:04:41.6,893rd,00:04:34.0,873rd,00:03:00.9,865th,00:03:14.9,864th,00:03:21.7,837th=
829th,128,Christopher Sawyer, ,Enduro | Senior Male,00:30:28.2,+11:02.43, ,00:05:37.4,710th,00:04:14.6,680th,00:04:16.0,812th,00:04:07.1,741st=,00:02:49.3,701st=,00:03:03.5,699th,00:06:20.3,953rd
830th,904,Dave Bates,Swindon MTB Enthusiasts,Enduro | Grand Vet Male,00:30:30.8,+11:05.03, ,00:06:00.4,852nd,00:05:08.2,924th,00:05:01.9,920th,00:04:25.3,852nd,00:03:07.8,901st,00:03:16.2,875th,00:03:31.0,861st
831st,1051,James Fagg,Stage 1 Cycles Hawes,Enduro | Master Male,00:30:30.9,+11:05.17, ,00:05:40.2,735th=,00:04:35.5,820th,00:03:52.3,652nd,00:04:01.0,681st,00:02:54.1,787th,00:03:02.0,672nd,00:06:25.9,954th
832nd,205,Julie-Ann Johnson,Cafe Adventure,Enduro | Master Female,00:30:36.9,+11:11.09, ,00:06:52.8,958th,00:05:07.0,922nd,00:04:32.2,870th,00:04:24.1,843rd,00:03:07.9,903rd,00:03:14.7,860th,00:03:18.1,821st=
833rd,348,Dan Cunliffe,Warrington Revolution MTB,Enduro | Master Male,00:30:38.0,+11:12.25, ,00:06:37.8,948th,00:04:52.0,882nd,00:04:37.4,881st,00:04:21.3,836th,00:03:16.0,940th,00:03:27.7,927th,00:03:25.8,851st
834th,1112,Nick Ponder,Nick ponder,Enduro | Master Male,00:30:43.6,+11:17.82, ,00:05:07.2,407th,00:03:46.6,365th,00:09:50.0,969th,00:03:49.8,556th,00:02:34.0,279th,00:02:53.0,454th,00:02:42.9,405th
835th,484,Marcus Weddell,Gears & Beers,Enduro | Veteran Male,00:30:58.8,+11:33.07, ,00:06:27.0,921st,00:06:14.6,976th,00:04:18.1,826th,00:04:31.7,871st,00:03:02.8,878th,00:03:05.8,749th,00:03:18.9,826th
836th,247,Christopher Tulley,ATGNI,Enduro | Master Male,00:30:59.0,+11:33.23, ,00:05:35.6,700th,00:04:40.4,848th,00:05:07.5,924th,00:05:09.3,927th,00:03:34.3,966th,00:03:04.7,725th,00:03:47.2,902nd
837th,388,Andy Ballard,Dicks Out For Harambe,Enduro | Master Male,00:30:59.3,+11:33.49, ,00:10:38.9,1012th,00:04:06.7,603rd=,00:03:47.6,592nd,00:03:54.7,612th,00:02:40.3,482nd=,00:02:57.8,598th,00:02:53.2,578th
838th,68,Cat Topham,Falline Cycles,Enduro | Master Female,00:31:00.7,+11:34.98, ,00:07:25.5,978th,00:04:45.0,867th,00:04:18.5,829th,00:04:35.2,877th,00:03:14.3,931st,00:03:20.4,899th,00:03:21.8,840th
839th,1024,Emma Braithwaite, ,Enduro | Master Female,00:31:01.0,+11:35.25, ,00:06:35.6,940th,00:05:23.0,946th=,00:04:35.7,879th=,00:04:34.7,875th,00:03:02.7,876th,00:03:16.0,874th,00:03:33.4,869th
840th,598,Paul Flynn,LEYBURN BIKES,Enduro | Master Male,00:31:02.6,+11:36.85, ,00:06:10.6,886th,00:05:49.6,968th,00:04:25.0,852nd,00:04:35.4,878th,00:03:11.3,919th,00:03:29.9,930th,00:03:20.8,833rd
841st,280,Thomas Eady,Team Bear-Pope,Enduro | Master Male,00:31:05.1,+11:39.35, ,00:06:25.7,917th,00:05:07.2,923rd,00:04:54.2,912th,00:04:29.7,867th=,00:03:12.2,923rd,00:03:17.0,882nd,00:03:39.0,883rd
842nd,496,Trish Doyle,GravityBC,Enduro | Master Female,00:31:05.9,+11:40.18, ,00:06:20.6,905th,00:05:31.5,958th,00:04:31.1,866th,00:04:39.4,892nd,00:03:04.5,889th,00:03:19.9,895th,00:03:38.9,882nd
843rd,449,Ben Cowley, ,Enduro | Master Male,00:31:07.8,+11:42.06, ,00:06:14.6,896th,00:05:24.1,950th,00:04:34.5,875th,00:04:44.2,897th,00:03:08.0,905th,00:03:23.2,910th,00:03:39.3,885th
844th,540,Tim Whittet,Revolution Sports Physio,Enduro | Senior Male,00:31:08.7,+11:42.98, ,00:06:01.8,858th,00:06:23.8,980th,00:04:10.3,784th,00:04:20.6,832nd,00:03:05.6,896th,00:03:15.6,871st,00:03:50.9,909th
845th,636,Aaron Maxwell,Manx Ard Rockers,Enduro | Veteran Male,00:31:15.6,+11:49.87, ,00:06:28.6,929th,00:05:12.1,930th,00:04:26.5,855th,00:04:45.5,900th,00:03:14.8,937th,00:03:31.5,936th,00:03:36.6,878th
846th,1102,Nick Saffer, ,Enduro | Master Male,00:31:18.0,+11:52.25, ,00:06:27.7,923rd,00:05:13.7,934th,00:04:24.1,849th,00:04:48.7,908th,00:03:06.4,898th,00:03:36.5,942nd,00:03:40.9,891st
847th,217,James Grigalis, ,Enduro | Senior Male,00:31:20.3,+11:54.51, ,00:06:01.7,855th,00:07:31.9,997th,00:04:19.8,835th,00:04:14.2,797th,00:02:49.3,703rd=,00:03:10.6,822nd,00:03:12.8,795th
848th,474,David Gray,Gears & Beers,Enduro | Grand Vet Male,00:31:23.9,+11:58.10, ,00:09:13.8,1002nd,00:04:42.0,856th,00:04:05.9,757th,00:04:07.9,749th,00:02:59.1,846th,00:03:06.2,758th=,00:03:08.9,757th=
849th,500,Mark Biggs,The Guards Enduro Team,Enduro | Master Male,00:31:24.6,+11:58.85, ,00:06:51.2,955th,00:04:56.8,899th,00:04:57.3,914th,00:04:47.3,907th,00:03:08.6,907th,00:03:12.6,843rd,00:03:30.7,860th
850th,440,Laurent Kouzmine,Fat n furious,Enduro | Master Male,00:31:28.3,+12:02.51, ,00:06:34.0,939th,00:05:23.0,946th=,00:04:38.1,886th,00:04:36.8,883rd,00:03:24.1,957th,00:03:27.4,925th,00:03:24.9,848th
851st,1136,Karen Lederer, ,Enduro | Master Female,00:31:35.8,+12:10.04, ,00:06:49.8,954th,00:05:27.4,955th,00:04:40.6,892nd,00:04:37.7,885th=,00:03:15.9,939th,00:03:19.7,892nd,00:03:24.8,846th
852nd,939,Beth Austermuhle, ,Enduro | Master Female,00:31:40.3,+12:14.58, ,00:06:25.2,916th,00:05:40.3,963rd,00:04:32.3,871st,00:04:54.9,915th,00:03:12.6,925th,00:03:25.9,917th,00:03:29.1,856th
853rd,391,Richard Weatherly,Dicks Out For Harambe,Enduro | Master Male,00:31:43.0,+12:17.20, ,00:10:38.8,1011th,00:04:07.6,618th,00:03:57.7,698th,00:04:05.6,726th,00:02:44.9,615th,00:03:04.3,714th,00:03:04.0,715th
854th,992,Matthew King, ,Enduro | Master Male,00:31:48.0,+12:22.19, ,00:05:16.7,519th=,00:04:04.6,576th,00:03:36.9,435th,00:03:44.0,458th,00:02:38.6,428th,00:02:55.3,523rd,00:09:31.9,964th
855th,483,Alistair Vening,Gears & Beers,Enduro | Veteran Male,00:31:48.5,+12:22.74, ,00:06:36.7,944th,00:05:15.9,938th,00:04:48.0,905th,00:04:55.8,916th,00:03:02.0,873rd,00:03:14.1,855th,00:03:56.0,915th
856th,689,Vicky Chapman,MMB,Enduro | Master Female,00:31:53.8,+12:28.06, ,00:05:45.2,769th,00:04:28.3,785th,00:04:03.7,746th,00:08:19.2,956th,00:02:54.1,788th=,00:03:12.3,839th,00:03:10.9,772nd=
857th,879,Tom Shrimpton,SPECIALIZED RIDER SUPPORT TEAM,Enduro | Master Male,00:31:57.6,+12:31.80, ,00:07:21.0,975th,00:06:22.2,979th,00:04:42.0,894th,00:04:36.3,880th,00:02:58.6,840th,00:02:58.8,617th,00:02:58.6,661st
858th,227,Ben Healy,Ardshlong,Enduro | Master Male,00:31:58.9,+12:33.12, ,00:06:36.9,946th,00:05:23.6,948th,00:04:47.2,903rd,00:04:47.3,905th,00:03:15.8,938th,00:03:31.6,937th,00:03:36.4,876th
859th,365,Robyn Spittle, ,Enduro | Senior Female,00:32:00.0,+12:34.19, ,00:06:21.8,908th,00:05:14.4,935th,00:05:13.5,929th,00:04:51.5,913th,00:03:11.5,920th,00:03:25.2,914th,00:03:42.1,895th
860th,588,Kelvin Griffiths,Let's go ride bikes,Enduro | Grand Vet Male,00:32:01.0,+12:35.22, ,00:05:59.5,848th,00:04:52.8,884th,00:04:12.2,795th,00:04:08.1,755th,00:02:52.4,758th,00:03:07.7,794th=,00:06:48.2,956th
861st,645,Rob Temple,Manx MTB Enduro,Enduro | Senior Male,00:32:04.8,+12:39.06, ,00:05:40.3,740th=,00:04:44.3,865th,00:04:35.2,878th,00:04:39.2,890th,00:03:05.5,894th,00:05:47.0,968th,00:03:33.3,868th
862nd,947,Ian Gilbert,Team Zurpetron,Enduro | Grand Vet Male,00:32:09.2,+12:43.44, ,00:06:28.4,928th,00:04:53.8,887th,00:05:40.1,943rd,00:04:50.1,910th,00:03:11.9,922nd,00:03:24.6,913th,00:03:40.2,887th
863rd,850,Tracey Currie,SAMM,Enduro | Grand Vet Female,00:32:10.7,+12:44.96, ,00:06:45.2,952nd,00:05:17.1,940th,00:04:58.9,917th,00:04:53.9,914th,00:03:13.7,930th,00:03:30.4,931st,00:03:31.5,862nd
864th,682,Peter Sutton,MLCB,Enduro | Veteran Male,00:32:11.2,+12:45.38, ,00:06:28.2,926th,00:05:05.6,918th,00:04:39.0,888th,00:04:58.1,918th,00:03:22.9,953rd,00:03:40.1,948th,00:03:57.1,920th
865th,19,John Nelson,Rusty Bike,Enduro | Grand Vet Male,00:32:12.7,+12:46.94, ,00:06:32.6,937th,00:05:36.3,961st,00:04:48.4,907th,00:04:50.1,909th,00:03:05.6,895th,00:03:40.5,949th,00:03:39.2,884th
866th,271,Craig Seddon,Bad Brains MBC,Enduro | Veteran Male,00:32:15.1,+12:49.35, ,00:04:50.7,208th,00:03:40.6,274th,00:03:30.2,317th,00:12:06.3,960th,00:02:34.0,277th,00:02:51.2,402nd,00:02:42.1,384th
867th,993,Jill Eccles, ,Enduro | Master Female,00:32:17.8,+12:52.01, ,00:06:37.4,947th,00:06:03.2,973rd,00:04:37.6,882nd,00:04:37.8,887th,00:03:13.5,929th,00:03:27.4,926th,00:03:40.9,890th
868th,478,Rob Newman,Gears & Beers,Enduro | Master Male,00:32:27.4,+13:01.60, ,00:05:58.6,845th,00:05:16.3,939th,00:05:12.3,927th,00:05:26.8,934th,00:03:30.4,962nd,00:03:27.1,923rd,00:03:35.8,875th
